Feature,Model,Precision,Recall,Macro F1
word_ngram+char_ngram,RF_MNB_SVM_SGD_XGB,0.5607709404673104,0.6440386253356329,0.587413040587965
word_ngram+char_ngram,LR_RF_MNB_SGD_XGB,0.561702329419687,0.6406864344994819,0.5870132737140097
word_ngram+char_ngram,LR_MNB_SVM_SGD_XGB,0.5606208791933276,0.642084984884298,0.5867910140090266
word_ngram+char_ngram,LR_RF_MNB_SVM_SGD,0.5604613652228781,0.6442189857108906,0.5865368176510002
word_ngram+char_ngram,LR_SGD_XGB,0.5612982170970293,0.6379649619548038,0.5859150428080167
word_ngram+char_ngram,LR_RF_SVM,0.5592664507244487,0.6396783615109297,0.5845349765939722
word_ngram+char_ngram,LR_RF_MNB_SVM_XGB,0.5593570852116589,0.639468323667536,0.584502655633923
word_ngram+char_ngram,LR_MNB_SGD,0.5561863613674325,0.6373695735952803,0.5830069795031799
word_ngram+char_ngram,LR_RF_SGD,0.557485476468566,0.637039946134013,0.5826924356194146
word_ngram+char_ngram,LR_RF_MNB,0.5565591629504584,0.634871714948861,0.5826898706137087
word_ngram+char_ngram,LR_MNB_SVM,0.5557599410761161,0.6378686328789082,0.5826383824160601
word_ngram+char_ngram,MNB_SGD_XGB,0.5543554439003626,0.6397408941384286,0.5825858390036243
word_ngram+char_ngram,LR_RF_SVM_SGD_XGB,0.5573390748503531,0.6387054402572176,0.5825253962825552
word_ngram+char_ngram,LR_SVM_XGB,0.5585219880129157,0.6361026650318067,0.5822806627533255
word_ngram+char_ngram,LR_MNB_XGB,0.5556333703933485,0.6329234136224543,0.5820486929428393
word_ngram+char_ngram,MNB_SVM_XGB,0.5536794600900163,0.6390086376672119,0.58166221692159
word_ngram+char_ngram,RF_MNB_SGD,0.5531790726113279,0.6381654185841943,0.5812408766424034
word_ngram+char_ngram,RF_MNB_SVM,0.5530454894978523,0.639191087933928,0.5810107977449045
word_ngram+char_ngram,LR_SVM_SGD,0.5516747686256696,0.6367337091355771,0.5794176305027909
word_ngram+char_ngram,LR_RF_XGB,0.5541736851362555,0.6342729947382673,0.5786636193498403
word_ngram+char_ngram,RF_SGD_XGB,0.5517414445173864,0.6352562978207852,0.5772397635761541
word_ngram+char_ngram,SVM_SGD_XGB,0.5503015620374161,0.6375160672922908,0.5772337702696048
word_ngram+char_ngram,RF_SVM_XGB,0.5520826926246031,0.6341510368899083,0.5769198437463984
word_ngram+char_ngram,RF_MNB_XGB,0.5495107148360028,0.6307613941568943,0.5745918287558475
word_ngram+char_ngram,MNB_SVM_SGD,0.5468711896395558,0.6351997265946742,0.574585830009921
word_ngram+char_ngram,RF_SVM_SGD,0.5446150670780721,0.6349788181174836,0.572077313180455
